2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"202,705.80","241,886.50","258,373.20","264,723.70","248,252.10","257,251.20","241,979.90","243,794.90","270,280.40","275,470.10","274,140.60","288,131.20","324,274.20","354,683.10","341,776.30","350,499.80","335,560.30","318,657.70","312,753.30","294,786.80","293,314.30","278,300.50","256,215.50","248,603.10","230,113.20","240,567.30","228,452.70","218,079.80","232,369.60","222,099.70","214,950.60"
"188,088.70","185,645.70","174,220.30","191,935.00","200,398.50","195,409.40","186,639.80","184,960.80","175,687.90","166,631.50","162,788.90","157,019.80","156,044.40","131,831.60","121,562.50","116,453.90","110,007.60","103,820.50","99,146.30","97,196.50","84,729.10","85,679.80","83,449.60","81,440.90","78,528.30","75,166.70","70,779.60","63,620.20","59,702.80","61,564.10","55,210.40"
"184,111.20","184,096.30","186,865.60","198,738.80","181,113.30","164,152.30","154,235.20","145,993.70","143,819.10","141,690.00","140,378.60","145,337.90","140,734.20","145,813.30","132,304.20","121,608.70","118,313.60","105,663.50","102,325.60","99,837.20","98,374.10","98,773.30","90,190.30","89,362.50","85,821.10","82,737.20","76,253.60","73,749.60","66,977.80","60,305.80","59,026.00"
"165,663.60","174,599.90","185,623.80","174,938.30","201,655.40","191,067.80","237,728.70","270,268.70","277,110.20","283,342.40","268,924.60","251,616.60","301,195.30","312,141.50","303,989.40","295,405.20","307,135.60","330,228.50","303,940.80","300,552.90","297,376.80","305,725.10","309,288.00","328,244.80","346,111.30","399,250.10","415,669.90","499,314.90","574,642.60","651,932.00","688,618.90"
"163,511.50","180,687.60","168,154.30","156,456.40","143,281.10","133,169.70","134,045.90","139,103.60","129,004.30","113,039.80","108,550.30","94,205.50","88,136.30","76,650.10","82,958.10","85,127.90","88,108.30","81,278.10","91,164.80","97,553.30","87,630.50","72,714.40","91,784.10","118,910.20","98,880.80","100,068.80","102,116.00","89,562.00","67,338.20","45,545.10","64,206.40"
"161,563.00","170,582.40","164,534.10","157,704.40","154,654.30","156,273.00","147,735.20","139,024.10","134,934.20","120,784.90","114,179.40","112,172.20","107,745.50","102,750.20","99,808.70","94,187.80","89,492.70","88,188.90","82,404.30","78,645.50","80,046.80","77,505.30","74,649.10","74,433.20","76,123.80","76,440.20","73,606.20","72,219.10","66,844.60","66,428.50","62,936.90"
"154,535.90","168,162.00","176,894.60","179,267.30","183,158.70","185,550.00","179,600.70","183,255.70","177,955.30","176,641.60","167,226.30","156,567.50","167,231.80","162,820.20","154,917.50","145,995.40","141,376.40","127,653.50","117,462.10","125,255.20","132,265.50","134,502.00","132,669.90","126,118.70","122,545.90","112,886.70","111,909.90","110,256.50","107,921.10","105,906.60","100,313.90"
"133,471.30","145,871.30","139,119.10","133,456.70","120,895.10","110,990.90","101,822.50","95,504.10","86,165.00","82,544.50","81,917.80","76,321.90","75,039.40","73,250.50","69,305.50","76,190.20","74,718.30","73,141.90","71,257.20","70,259.10","71,942.80","71,621.20","73,870.20","74,447.80","66,899.80","61,414.80","51,270.00","47,577.90","43,803.70","40,442.20","40,868.90"
"130,315.10","145,939.24","151,382.30","155,710.90","158,499.30","157,376.00","149,793.40","157,090.20","157,473.40","158,768.00","171,110.50","160,488.30","165,221.90","164,550.60","163,702.70","167,926.00","172,116.50","170,362.80","167,429.40","167,116.10","162,096.70","161,446.10","166,734.40","166,310.90","173,623.40","164,106.40","159,604.10","160,137.20","156,009.70","157,266.80","151,520.70"
"115,577.80","117,687.80","112,720.50","109,708.50","105,333.90","99,358.20","104,872.50","111,856.50","113,140.20","128,633.70","126,240.50","116,532.50","128,884.10","122,580.60","127,356.90","119,190.10","124,840.10","121,905.70","129,888.00","125,695.40","123,804.50","116,488.10","116,263.50","100,732.30","99,600.30","98,154.60","108,876.60","114,592.90","113,076.80","118,584.80","117,767.70"
